,id,name,event_id,start_date,end_date,title,photo_url
48,18566818,JLWA,336881.0,2019-04-10,2019-04-11,Juggy & Band Live,['https://b.zmtcdn.com/data/zomato_events/photos/ee5/3136ce776bb5713020dc50098b29bee5_1554725717.jpg']
49,48851,Rude Lounge,318235.0,2019-04-20,2019-04-20,Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,['https://b.zmtcdn.com/data/zomato_events/photos/4d5/13623423b8a28744a3d0fdbeee5754d5_1551098744.jpg']
50,18205932,The Cult - Peninsula Grand Hotel,337023.0,2019-04-14,2019-04-15,Sunday Night ,['https://b.zmtcdn.com/data/zomato_events/photos/667/b3386da080734d28b323598100093667_1554751324.jpg']
51,18732598,Timess Square,NA,NA,NA,NA,NA
52,18580259,Coffee Culture,336279.0,2019-04-18,2019-04-18,"Stand Up Comedy @ Coffee Culture, Bandra On Every Thursday !",[]
53,34757,Joey's Pizza,NA,NA,NA,NA,NA
54,18522518,Vikhroli Social,332812.0,2019-03-29,2019-05-23,Live 20/20 Match Screenings,['https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg']
55,18917650,Warehouse Kitchenbar,NA,NA,NA,NA,NA
56,35217,Joey's Pizza,NA,NA,NA,NA,NA
57,18397684,Craftbar,309090.0,2019-02-20,2019-04-30,Wednesday Angel's Night ,[]
58,36403,Prithvi Cafe,NA,NA,NA,NA,NA
59,18691230,Grandmama's Café,328877.0,2019-03-25,2019-05-19,IPL Hours at Grandmama's Cafe,['https://b.zmtcdn.com/data/zomato_events/photos/b62/0b4ae8502067707a163a39bf0d719b62_1553088932.jpg']
60,58882,Byg Brewski Brewing Company,NA,NA,NA,NA,NA
61,18706428,Byg Brewski Brewing Company,279336.0,2018-11-29,2019-12-31,Corporate Events,"['https://b.zmtcdn.com/data/zomato_events/photos/d72/e770dbc5f27c87b39dd848e0ac519d72_1543846758.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/c93/859e88e64bf64e6d9fe22c8043f89c93_1543846758.jpg']"
62,18871246,ShakesBierre,332383.0,2019-03-28,2019-04-30,STANDUPCOMEDY,['https://b.zmtcdn.com/data/zomato_events/photos/921/aac386792791cc0d57170c8c69259921_1553779838.jpg']
63,18772094,Bombay Adda,335989.0,2019-04-14,2019-04-15,Unplugged Night Ft. Saher,['https://b.zmtcdn.com/data/zomato_events/photos/daf/f8880703cde05ef2d9a60c58fef8edaf_1554471175.jpg']
64,18578798,TBC Sky Lounge,NA,NA,NA,NA,NA
65,18945224,Secret Of Bangalore,NA,NA,NA,NA,NA
66,18254597,Brew and Barbeque - A Microbrewery Pub,NA,NA,NA,NA,NA
67,18387426,The Black Pearl,334210.0,2019-04-02,2020-03-31,Cocktails and Mocktails offers at Black Pearl ,"['https://b.zmtcdn.com/data/zomato_events/photos/763/823547a36ed40f9b4bec7ab5f4b25763_1554190858.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/e0f/c8fc6c14e15bcaf40df8d2d659ac6e0f_1554190859.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/b90/c9bfdf963ccaa51502938e28f4ba1b90_1554190859.jpeg']"
68,57833,Big Pitcher,270216.0,2018-11-01,2020-10-31,New Food Menu Launch at Big Pitcher,['https://b.zmtcdn.com/data/zomato_events/photos/981/c27a588a41e431a0619c19edb6a14981_1541091518.jpg']
69,54162,The Black Pearl,336932.0,2019-04-08,2020-03-31,Sunday Specials at The Black Pearl,['https://b.zmtcdn.com/data/zomato_events/photos/359/40bdc0c46472fe6eeb756f47fce01359_1554730726.jpeg']
70,18853706,Brahma Brews,NA,NA,NA,NA,NA
71,18625420,Burma Burma,NA,NA,NA,NA,NA
